tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,cultivated vegetation,a black and white image of a man with a beard,aerial view of the lake,0.0,0.0,0.0,0.0,0.0,0.0
tile_0001,cultivated vegetation,a white and black cat,an aerial view of a lake and a road,0.0,0.0,0.0,0.0,0.0,0.0
tile_0002,water body,a white and black cat,a satellite image of a lake in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
tile_0003,cultivated vegetation,a black and white photo of a person ' s face,an aerial view of a field with a road,0.0,0.0,0.0,0.0,0.0,0.0
tile_0004,cultivated vegetation,a white house with a green roof,an aerial view of a road and a field,0.0,0.0,0.0,0.0,0.0,0.0
tile_0005,field,a green leaf with white flowers,an aerial view of a house in the middle of a field,0.0,0.08333333333333333,0.0,0.15384615384615385,0.0,0.2097553962782169
tile_0006,cultivated vegetation,a white and black cat sitting on a green chair,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
tile_0007,field,a city with lots of buildings and trees,"an aerial view of the city of fort, texas",0.0,0.0,0.0,0.0,0.0,0.0
tile_0008,urban area,a black and white photo of a city,a map of the city of edmonton,0.0,0.0,0.0,0.0,0.0,0.0
tile_0009,field,an aerial view of a city with a red car,an aerial view of the site of the former building,0.0,0.0,0.0,0.0,0.0,0.0
tile_0010,field,a man in a suit and tie is standing in front of a camera,an aerial view of the site of the proposed new school,0.0,0.0,0.0,0.0,0.0,0.0
tile_0011,cultivated vegetation,a close up of a purple flower,an aerial view of the site of the site,0.0,0.0,0.0,0.0,0.0,0.0
tile_0012,cultivated vegetation,a cell with a cell in the middle,aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
tile_0013,cultivated vegetation,a black and white dog is looking up at the camera,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
tile_0014,cultivated vegetation,a black and white cat is looking at the camera,aerial view of the road,0.0,0.0,0.0,0.0,0.0,0.0
tile_0015,field,a green and white mosaic tile,a satellite image of a road in the middle of a green field,0.0,0.07692307692307693,0.0,0.14285714285714288,0.0,0.2097553962782169
tile_0016,cultivated vegetation,a purple vase sitting on top of a table,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
tile_0017,cultivated vegetation,a black cat is sitting on a green surface,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
tile_0018,cultivated vegetation,a green diamond,a green patch of land with a small patch of land in the middle,0.0,0.0,0.0,0.0,0.0,0.0
