tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,"The image shows a coastal area with a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a golf field visible in the background.","The image shows a mix of land cover types, including a bridge, a building, a road, and a building, with the bridge and the building being the most prominent features.",0.4129911899981508,0.6297017414619639,0.6122448979591837,0.6666666666666667,0.4497969180134647,0.5266148629594637
tile_0001,The image shows a land cover type of trees at the bottom of the scene.,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a road.","The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.",0.4084142155533755,0.8,0.5,0.8648648648648648,0.4114776470714115,0.7846808650367368
tile_0002,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.8751733190429475,0.816828431106751,0.9375,0.8749999999999999,0.9317157650164152,0.8037311277734124
tile_0003,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a large area of green grass, some trees, and a few buildings.","The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in trees.",0.35946317129377725,0.5432069112909964,0.6666666666666667,0.6530612244897959,0.6441387928819846,0.526659502007111
tile_0004,"The image shows a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in grass.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.875,0.4444444444444444,0.9032258064516129,0.6190476190476191,0.8586557982260813,0.5740852326358432
tile_0005,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including grass, trees, and a building.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,0.8666666666666667,1.0,0.8666666666666667,1.0000000000000007,0.7357532581618298
tile_0006,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,0.9333333333333333,1.0,0.9333333333333333,1.0000000000000007,0.8586557982260813
tile_0007,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The remote sensing image shows a mix of land cover types, including trees, water, and a single bridge.","The remote sensing image shows a mix of land cover types, including a baseball field, a bridge, a building, a dam, a road, and a soccer ball field.",0.42606053910635533,0.4462526605735588,0.5957446808510638,0.6521739130434783,0.4086697453209458,0.5221391995458988
tile_0008,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a road, a building, and a field.","The image shows a mix of land cover types, including a golf field, a bridge, and a building.",0.6549846024623855,0.776483765527544,0.7272727272727272,0.9142857142857143,0.5922486215716684,0.8037311277734124
tile_0009,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including grass, trees, and a building.","The remote sensing image shows a mix of land cover types, including a large field, some trees, and a road.",0.6687625565355366,0.6209938024972841,0.8,0.7428571428571429,0.6862931425636344,0.5951143166387044
tile_0010,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,1.0,1.0,1.0,1.0000000000000007,1.0000000000000007
tile_0011,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a roundabout.",0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8586557982260813,0.8586557982260813
tile_0012,"The image shows a mix of land cover types, including buildings, trees, and a ground track field.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.8235294117647058,0.9355069850316178,0.8484848484848485,0.967741935483871,0.7096597996236947,0.9317157650164152
tile_0013,"The image shows a mix of land cover types, including trees, buildings, and a runway.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8586557982260813,0.8586557982260813
tile_0014,"The image shows a coastal area with a mix of land cover types, including buildings, trees, and a road.","The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a bridge at the bottom left, a building at the top left, and a gray ship at the top left. The land cover type visible is a bridge.",0.21511323216104422,0.19238142099548713,0.36363636363636365,0.3773584905660377,0.2186861860340749,0.25540344810239646
